"day","from","to","value"
"236","5","2",9.841693
"237","5","2",9.834364
"238","5","2",9.691716
"239","5","2",9.796477
"240","5","2",9.806845
"241","5","2",9.804435
"242","5","2",9.78878
"243","5","2",9.698072
"244","5","2",9.821733
"245","5","2",9.809674
"246","5","2",9.809409
"247","5","2",9.782598
"248","5","2",9.779566
"249","5","2",9.7506275
"250","5","2",9.706593
"251","5","2",9.777229
"252","5","2",9.754929
"232","0","3",7.290034
"233","0","3",7.2886157
"234","0","3",7.313014
"235","0","3",7.2808833
"236","0","3",7.2500486
"237","0","3",7.259951
"238","0","3",7.241631
"239","0","3",7.296598
"240","0","3",7.2707953
"241","0","3",7.2538385
"242","0","3",7.2710814
"243","0","3",7.304223
"244","0","3",7.2825947
"245","0","3",7.2896824
"246","0","3",7.2676525
"247","0","3",7.276504
"248","0","3",7.279176
"249","0","3",7.31403
"250","0","3",7.1966934
"251","0","3",7.340616
"252","0","3",7.292516
"232","1","3",4.5839095
"233","1","3",4.5941124
"234","1","3",4.6000752
"235","1","3",4.5938187
"236","1","3",4.52775
"237","1","3",4.5460978
"238","1","3",4.5502462
"239","1","3",4.6141768
"240","1","3",4.5854464
"241","1","3",4.584188
"242","1","3",4.5728283
"243","1","3",4.5664015
"244","1","3",4.5990586
"245","1","3",4.613865
"246","1","3",4.594422
"247","1","3",4.6033225
"248","1","3",4.5511107
"249","1","3",4.572255
"250","1","3",4.50015
"251","1","3",4.5279827
"252","1","3",4.516311
"232","2","3",10.152322
"233","2","3",10.160697
"234","2","3",10.181043
"235","2","3",10.157928
"236","2","3",10.055675
"237","2","3",10.117272
"238","2","3",10.105062
"239","2","3",10.152356
"240","2","3",10.115753
"241","2","3",10.102322
"242","2","3",10.11227
"243","2","3",10.120599
"244","2","3",10.138852
"245","2","3",10.145701
"246","2","3",10.131161
"247","2","3",10.147351
"248","2","3",10.118847
"249","2","3",10.122662
"250","2","3",9.990124
"251","2","3",10.089538
"252","2","3",10.024077
"232","3","3",15.153045
"233","3","3",15.201599
"234","3","3",15.226316
"235","3","3",15.187355
"236","3","3",15.084611
"237","3","3",15.137695
"238","3","3",15.142127
"239","3","3",15.186268
"240","3","3",15.133891
"241","3","3",15.112095
"242","3","3",15.134278
"243","3","3",15.183757
"244","3","3",15.154869
"245","3","3",15.169488
"246","3","3",15.146509
"247","3","3",15.173091
"248","3","3",15.143917
"249","3","3",15.182811
"250","3","3",14.993207
"251","3","3",15.174701
"252","3","3",15.106994
"232","4","3",7.7648864
"233","4","3",7.7434278
"234","4","3",7.779584
"235","4","3",7.759152
"236","4","3",7.776298
"237","4","3",7.7752943
"238","4","3",7.700973
"239","4","3",7.7348175
"240","4","3",7.745054
"241","4","3",7.7347794
"242","4","3",7.7371774
"243","4","3",7.678685
"244","4","3",7.720539
"245","4","3",7.720999
"246","4","3",7.737055
"247","4","3",7.7258353
"248","4","3",7.746304
"249","4","3",7.723987
"250","4","3",7.69312
"251","4","3",7.6975155
"252","4","3",7.663542
"232","5","3",10.967499
"233","5","3",10.942832
"234","5","3",11.002784
"235","5","3",10.969714
"236","5","3",10.985771
"237","5","3",10.981256
"238","5","3",10.873053
"239","5","3",10.955214
"240","5","3",10.955273
"241","5","3",10.932749
"242","5","3",10.949284
"243","5","3",10.966894
"244","5","3",10.975763
"245","5","3",10.9639015
"246","5","3",10.948906
"247","5","3",10.933881
"248","5","3",10.973392
"249","5","3",10.960865
"250","5","3",10.891701
"251","5","3",11.046434
"252","5","3",10.9883585
"232","0","4",5.334886
"233","0","4",5.314074
"234","0","4",5.3175917
"235","0","4",5.3445215
"236","0","4",5.4146137
"237","0","4",5.4016213
"238","0","4",5.3650866
"239","0","4",5.319843
"240","0","4",5.3679323
"241","0","4",5.3723707
"242","0","4",5.374883
"243","0","4",5.360526
"244","0","4",5.3551173
"245","0","4",5.3360915
"246","0","4",5.360756
"247","0","4",5.339405
"248","0","4",5.3972554
"249","0","4",5.334895
"250","0","4",5.417554
"251","0","4",5.3733187
"252","0","4",5.3735323
"232","1","4",2.9133985
"233","1","4",2.949277
"234","1","4",2.9253793
"235","1","4",2.968943
