"Var1","Var2","Var3","Var4","value"
"T","E","A","A",10.2153603948505
"U","E","A","A",6.13909243806628
"A","F","A","A",5.90768984373226
"B","F","A","A",12.7883585822428
"C","F","A","A",15.2838710654189
"D","F","A","A",8.64880399116637
"E","F","A","A",4.22150707131394
"F","F","A","A",7.7774194689364
"G","F","A","A",6.66076384197776
"H","F","A","A",8.83688461401536
"I","F","A","A",9.11649996571654
"J","F","A","A",5.93197311272331
"K","F","A","A",5.54401194070989
"L","F","A","A",6.90271628214316
"M","F","A","A",6.40832389297936
"N","F","A","A",8.48805291112241
"O","F","A","A",9.33868728744144
"P","F","A","A",12.0776008494692
"Q","F","A","A",7.55826372004705
"R","F","A","A",8.48148664903717
"S","F","A","A",4.47020610933179
"T","F","A","A",8.01799535517629
"U","F","A","A",4.3970443848045
"A","A","B","A",2.45192392865613
"B","A","B","A",6.00002941329023
"C","A","B","A",5.50162851597317
"D","A","B","A",4.61637619027383
"E","A","B","A",2.81159752907034
"F","A","B","A",4.81469913026021
"G","A","B","A",2.26058428623885
"H","A","B","A",3.99884334107286
"I","A","B","A",4.3457281979546
"J","A","B","A",3.82279722906141
"K","A","B","A",2.85442343472862
"L","A","B","A",4.3106483706003
"M","A","B","A",3.43317821171366
"N","A","B","A",4.19535008997558
"O","A","B","A",4.61359533023529
"P","A","B","A",5.56225763765458
"Q","A","B","A",4.69094349071038
"R","A","B","A",4.53528256329661
"S","A","B","A",2.2639168134271
"T","A","B","A",4.13194660771343
"U","A","B","A",2.73947321888596
"A","B","B","A",2.17983475201008
"B","B","B","A",3.94674619745209
"C","B","B","A",3.52885515172071
"D","B","B","A",3.11887333925435
"E","B","B","A",2.13535806765
"F","B","B","A",3.22639598230176
"G","B","B","A",1.66016937157954
"H","B","B","A",3.17605697414338
"I","B","B","A",2.84019157953458
"J","B","B","A",2.68982590822785
"K","B","B","A",2.17614073783391
"L","B","B","A",2.6416973117864
"M","B","B","A",2.39360631350349
"N","B","B","A",2.94442215017187
"O","B","B","A",2.84765631467384
"P","B","B","A",3.76348815218303
"Q","B","B","A",3.24457925896569
"R","B","B","A",2.99507739462871
"S","B","B","A",1.43131172585214
"T","B","B","A",2.63567752901456
"U","B","B","A",1.82845025301618
"A","C","B","A",7.13537292374865
"B","C","B","A",9.83741093705316
"C","C","B","A",9.18428335404932
"D","C","B","A",7.00399292471631
"E","C","B","A",7.43463338210813
"F","C","B","A",8.34432901530376
"G","C","B","A",4.93803337933343
"H","C","B","A",9.27983887726876
"I","C","B","A",8.3588909787135
"J","C","B","A",6.83520959124094
"K","C","B","A",6.69191205040951
"L","C","B","A",6.41391774892511
"M","C","B","A",5.40485878806889
"N","C","B","A",7.63002841535712
"O","C","B","A",8.01575622891613
"P","C","B","A",10.2272671467927
"Q","C","B","A",7.67001396856684
"R","C","B","A",8.36449313437152
"S","C","B","A",4.51401950369107
"T","C","B","A",6.58467081791135
"U","C","B","A",4.42525492504676
"A","D","B","A",7.56188990694155
"B","D","B","A",11.6303354166292
"C","D","B","A",10.0763416406059
"D","D","B","A",8.8024886223365
"E","D","B","A",5.67869169724896
"F","D","B","A",8.38025089026809
"G","D","B","A",5.3816320385636
"H","D","B","A",10.588166704159
"I","D","B","A",8.07249382827189
"J","D","B","A",7.13349928576677
"K","D","B","A",6.02347669383311
"L","D","B","A",7.19339340215186
"M","D","B","A",5.54066955269261
"N","D","B","A",8.58940119710533
"O","D","B","A",7.14561156758144
