"orig","dest","idx3","idx4","value"
"3","5","7","1",5.41699150514717
"4","5","7","1",10.2021184021479
"5","5","7","1",12.1039661399617
"6","5","7","1",8.45813512761339
"1","6","7","1",10.6942589010162
"2","6","7","1",5.05815817322532
"3","6","7","1",8.07805375383595
"4","6","7","1",11.9977934591031
"5","6","7","1",6.78097239530945
"6","6","7","1",6.4757038066005
"1","1","8","1",3.86603080680185
"2","1","8","1",2.51684436423416
"3","1","8","1",11.3389576228596
"4","1","8","1",12.0587104429846
"5","1","8","1",8.48072545493468
"6","1","8","1",5.92774274450796
"1","2","8","1",4.78597656428812
"2","2","8","1",2.35831956208427
"3","2","8","1",6.21631060374134
"4","2","8","1",6.52192213782616
"5","2","8","1",4.43016113024143
"6","2","8","1",5.27027506379476
"1","3","8","1",21.8511964843857
"2","3","8","1",6.50095893626589
"3","3","8","1",9.79356348526529
"4","3","8","1",10.0754045611925
"5","3","8","1",7.54786965580576
"6","3","8","1",9.67531266445877
"1","4","8","1",16.8574553806718
"2","4","8","1",5.94895682268388
"3","4","8","1",8.82335080510654
"4","4","8","1",18.1513764082591
"5","4","8","1",11.1462968071992
"6","4","8","1",14.6696106579284
"1","5","8","1",7.8157037737554
"2","5","8","1",2.82378574297677
"3","5","8","1",5.41699150514717
"4","5","8","1",10.2021184021479
"5","5","8","1",12.1039661399617
"6","5","8","1",8.45813512761339
"1","6","8","1",10.6932195170928
"2","6","8","1",5.05378989114595
"3","6","8","1",8.07805375383595
"4","6","8","1",11.997783192768
"5","6","8","1",6.78097239530945
"6","6","8","1",6.4756246848245
"1","1","9","1",3.86603086799563
"2","1","9","1",2.51684436423416
"3","1","9","1",11.3389576228596
"4","1","9","1",12.0587104429846
"5","1","9","1",8.48072545493468
"6","1","9","1",5.91761194728522
"1","2","9","1",4.78597656428812
"2","2","9","1",2.35831956208427
"3","2","9","1",6.21631060374134
"4","2","9","1",6.52192213782616
"5","2","9","1",4.43016113024143
"6","2","9","1",5.27027506379458
"1","3","9","1",21.8955879778566
"2","3","9","1",6.50095893626589
"3","3","9","1",10.1541947705098
"4","3","9","1",10.0754045611925
"5","3","9","1",7.54786965580576
"6","3","9","1",9.67493859431532
"1","4","9","1",16.8574553806718
"2","4","9","1",5.94901922020365
"3","4","9","1",8.82335080510654
"4","4","9","1",18.1513764082591
"5","4","9","1",11.1462968071992
"6","4","9","1",14.6696106579284
"1","5","9","1",7.8157037737554
"2","5","9","1",2.82378574297677
"3","5","9","1",5.41699150514717
"4","5","9","1",10.2021184021479
"5","5","9","1",12.1039661399617
"6","5","9","1",8.45813512761339
"1","6","9","1",10.6930705202175
"2","6","9","1",5.05145008290192
"3","6","9","1",8.07805375383595
"4","6","9","1",11.9977833833187
"5","6","9","1",6.78097239530945
"6","6","9","1",6.47560288635657
"1","1","10","1",3.86603087631947
"2","1","10","1",2.51684436423416
"3","1","10","1",11.3389576228596
"4","1","10","1",12.0587104429846
"5","1","10","1",8.48072545493468
"6","1","10","1",5.91647872251415
"1","2","10","1",4.78597656428812
"2","2","10","1",2.35831956208427
"3","2","10","1",6.21631060374134
"4","2","10","1",6.52192213782616
"5","2","10","1",4.43016113024143
"6","2","10","1",5.27027506379458
"1","3","10","1",21.939881588195
"2","3","10","1",6.50095893626589
"3","3","10","1",10.2559490754031
"4","3","10","1",10.0754045611925
"5","3","10","1",7.54786965580576
"6","3","10","1",9.6748037874126
"1","4","10","1",16.8574553806718
"2","4","10","1",5.94904198919777
"3","4","10","1",8.82335080510654
"4","4","10","1",18.1513764082591
"5","4","10","1",11.1462968071992
"6","4","10","1",14.6696106579284
"1","5","10","1",7.8157037737554
"2","5","10","1",2.82378574297677
"3","5","10","1",5.41699150514717
"4","5","10","1",10.2021184021479
"5","5","10","1",12.1039661399617
"6","5","10","1",8.45813512761339
"1","6","10","1",10.6931431426906
"2","6","10","1",5.0508799888849
"3","6","10","1",8.07805375383595
"4","6","10","1",11.9977837143012
"5","6","10","1",6.78097239530945
"6","6","10","1",6.47559688076331
"1","1","11","1",3.86603087745171
"2","1","11","1",2.51684436423416
"3","1","11","1",11.3389576228596
"4","1","11","1",12.0587104429846
"5","1","11","1",8.48072545493468
"6","1","11","1",5.91933988574252
"1","2","11","1",4.78597656428812
"2","2","11","1",2.35831956208427
"3","2","11","1",6.21631060374134
"4","2","11","1",6.52192213782616
"5","2","11","1",4.43016113024143
"6","2","11","1",5.27027506379458
"1","3","11","1",21.9841833553723
"2","3","11","1",6.50095893626589
"3","3","11","1",9.97800669010845
"4","3","11","1",10.0754045611925
"5","3","11","1",7.54786965580576
"6","3","11","1",9.67475526082727
"1","4","11","1",16.8574553806718
"2","4","11","1",5.9490502976545
"3","4","11","1",8.82335080510654
"4","4","11","1",18.1513764082591
"5","4","11","1",11.1462968071992
"6","4","11","1",14.6696106579284
"1","5","11","1",7.8157037737554
"2","5","11","1",2.82378574297677
"3","5","11","1",5.41699150514717
"4","5","11","1",10.2021184021479
"5","5","11","1",12.1039661399617
"6","5","11","1",8.45813512761339
"1","6","11","1",10.6931951934076
"2","6","11","1",5.05136880884144
"3","6","11","1",8.07805375383595
"4","6","11","1",11.9977837832308
"5","6","11","1",6.78097239530945
"6","6","11","1",6.47559522619059
"1","1","12","1",3.86603087760572
"2","1","12","1",2.51684436423416
"3","1","12","1",11.3389576228596
"4","1","12","1",12.0587104429846
"5","1","12","1",8.48072545493468
"6","1","12","1",5.92192867966951
"1","2","12","1",4.78597656428812
"2","2","12","1",2.35831956208427
"3","2","12","1",6.21631060374134
"4","2","12","1",6.52192213782616
"5","2","12","1",4.43016113024143
"6","2","12","1",5.27027506379458
"1","3","12","1",22.0284877580676
