"Var1","Var2","Var3","Var4","value"
"T","D","B","A",0.337677292290389
"U","D","B","A",0.511285769770995
"A","E","B","A",0.688728083814181
"B","E","B","A",0.37128393168945
"C","E","B","A",0.0312216828212175
"D","E","B","A",0.476891415106266
"E","E","B","A",0.109152270610793
"F","E","B","A",0.670525759713977
"G","E","B","A",0.341133701577769
"H","E","B","A",0.283380273832007
"I","E","B","A",0.767522848797189
"J","E","B","A",0.348825645721823
"K","E","B","A",0.40298215943419
"L","E","B","A",0.339670457894866
"M","E","B","A",0.648837866831614
"N","E","B","A",0.0376666734911738
"O","E","B","A",0.317865178512902
"P","E","B","A",0.574842281137001
"Q","E","B","A",0.474606111531073
"R","E","B","A",0.204939191241737
"S","E","B","A",0.200891716054551
"T","E","B","A",0.229191748235395
"U","E","B","A",0.25577936744633
"A","F","B","A",0.413101987547245
"B","F","B","A",0.142061039181074
"C","F","B","A",-0.0983153801043965
"D","F","B","A",0.195031583624861
"E","F","B","A",0.06621770215697
"F","F","B","A",0.300039647465031
"G","F","B","A",0.251464684008603
"H","F","B","A",0.180818452422874
"I","F","B","A",0.530886339420196
"J","F","B","A",0.119240304491845
"K","F","B","A",0.234148669149158
"L","F","B","A",0.215544832161375
"M","F","B","A",0.244725907996339
"N","F","B","A",0.0106484096494616
"O","F","B","A",-0.0601975174322025
"P","F","B","A",0.324628324873239
"Q","F","B","A",0.224882450943281
"R","F","B","A",0.161005891537629
"S","F","B","A",0.103999452010309
"T","F","B","A",0.177368445842291
"U","F","B","A",-0.0794824820781373
"A","A","C","A",1.93867282161451
"B","A","C","A",4.09700868136891
"C","A","C","A",5.004276365748
"D","A","C","A",5.84117323681804
"E","A","C","A",4.55250314802677
"F","A","C","A",7.23164558721871
"G","A","C","A",6.20502945001188
"H","A","C","A",4.43434712594614
"I","A","C","A",6.39402046763684
"J","A","C","A",4.47938658307989
"K","A","C","A",5.38975339819393
"L","A","C","A",8.49884158883685
"M","A","C","A",5.50483089764283
"N","A","C","A",5.11495749746625
"O","A","C","A",5.65394398892704
"P","A","C","A",3.73803601581039
"Q","A","C","A",5.98860045573085
"R","A","C","A",2.30618337629869
"S","A","C","A",3.16110969871715
"T","A","C","A",3.38713729298673
"U","A","C","A",4.93894365692401
"A","B","C","A",1.13450777279693
"B","B","C","A",4.85879138542058
"C","B","C","A",5.89201913113445
"D","B","C","A",5.53156764648145
"E","B","C","A",5.67274296633038
"F","B","C","A",6.40557040515835
"G","B","C","A",5.29129784846788
"H","B","C","A",4.51022936648823
"I","B","C","A",7.02806419666945
"J","B","C","A",4.54503457497596
"K","B","C","A",5.97218632404341
"L","B","C","A",6.87872903360165
"M","B","C","A",5.5638608249037
"N","B","C","A",5.74070147878012
"O","B","C","A",5.11418332333855
"P","B","C","A",3.71652643776966
"Q","B","C","A",6.02779872770628
"R","B","C","A",2.71254920351636
"S","B","C","A",2.80289925754617
"T","B","C","A",3.21294256405883
"U","B","C","A",3.89498580209873
"A","C","C","A",0.379400375255007
"B","C","C","A",0.671225089548139
"C","C","C","A",0.732002458762667
"D","C","C","A",0.833113349149869
"E","C","C","A",0.87418767726962
"F","C","C","A",1.93591176082629
"G","C","C","A",0.59035126639349
