"orig","dest","idx3","idx4","value"
"1","2","3","1",5.4024358193756
"2","2","3","1",2.42376067646216
"3","2","3","1",5.24718937276068
"4","2","3","1",7.65694777405005
"5","2","3","1",4.78146789589233
"6","2","3","1",4.49529697301465
"1","3","3","1",20.6444448638337
"2","3","3","1",9.05374430505541
"3","3","3","1",8.69454201221959
"4","3","3","1",12.2248893297309
"5","3","3","1",8.40136275605483
"6","3","3","1",15.0854134388824
"1","4","3","1",15.7090271164546
"2","4","3","1",6.96583990749047
"3","4","3","1",8.27473571396012
"4","4","3","1",17.7461103842827
"5","4","3","1",11.0654808270699
"6","4","3","1",14.3027263285606
"1","5","3","1",8.29904970005265
"2","5","3","1",3.09050142419108
"3","5","3","1",5.16452149778566
"4","5","3","1",10.5630044462813
"5","5","3","1",11.5156367950546
"6","5","3","1",8.61783247221247
"1","6","3","1",9.81491540844525
"2","6","3","1",5.46141151760694
"3","6","3","1",8.0535478606872
"4","6","3","1",12.8802750094825
"5","6","3","1",6.96005453390189
"6","6","3","1",5.43788261220369
"1","1","4","1",4.89278917734359
"2","1","4","1",2.4497316384485
"3","1","4","1",9.2007932870695
"4","1","4","1",11.4798393561705
"5","1","4","1",8.2310656402319
"6","1","4","1",5.75352929260574
"1","2","4","1",5.40243956146299
"2","2","4","1",2.42380682372549
"3","2","4","1",5.24718937276147
"4","2","4","1",7.65543952446051
"5","2","4","1",4.78148965672663
"6","2","4","1",4.498556730119
"1","3","4","1",20.6444448632415
"2","3","4","1",9.04695560768515
"3","3","4","1",9.95488675088707
"4","3","4","1",12.2052359557383
"5","3","4","1",8.36862371636636
"6","3","4","1",15.0847562679502
"1","4","4","1",15.7921798860099
"2","4","4","1",6.96583990283987
"3","4","4","1",8.27505921038418
"4","4","4","1",17.7460894601052
"5","4","4","1",11.0654832493379
"6","4","4","1",14.3027262925295
"1","5","4","1",8.29904970005265
"2","5","4","1",3.09050142419108
"3","5","4","1",5.16212315397753
"4","5","4","1",10.5390995459863
"5","5","4","1",11.5156367950533
"6","5","4","1",8.61807323395538
"1","6","4","1",9.81491540844511
"2","6","4","1",5.46045125904569
"3","6","4","1",8.04856719425769
"4","6","4","1",12.8242759842011
"5","6","4","1",6.96005453583267
"6","6","4","1",5.43788261220369
"1","1","5","1",4.94430955129629
"2","1","5","1",2.45004289144129
"3","1","5","1",9.20496163567111
"4","1","5","1",11.4798391877431
"5","1","5","1",8.23106564992866
"6","1","5","1",5.75341762159292
"1","2","5","1",5.40243958454056
"2","2","5","1",2.4238095437632
"3","2","5","1",5.24718937276147
"4","2","5","1",7.6552534592561
"5","2","5","1",4.78148979543231
"6","2","5","1",4.49900501055693
"1","3","5","1",20.6444448632415
"2","3","5","1",9.04218976255839
"3","3","5","1",9.79744668704589
"4","3","5","1",12.2030625838718
"5","3","5","1",8.35822391692413
"6","3","5","1",15.0847503485254
"1","4","5","1",15.7921924857198
"2","4","5","1",6.96583990283947
"3","4","5","1",8.27505898084205
"4","4","5","1",17.7460886340987
"5","4","5","1",11.0654831429237
"6","4","5","1",14.3027262925379
"1","5","5","1",8.29904970005265
"2","5","5","1",3.09050142419108
"3","5","5","1",5.16192475379606
"4","5","5","1",10.5318844064588
"5","5","5","1",11.5156367950533
"6","5","5","1",8.61808120929101
"1","6","5","1",9.81491540844511
"2","6","5","1",5.46042005816537
"3","6","5","1",8.04685587688166
"4","6","5","1",12.8024692105339
"5","6","5","1",6.96005453583281
"6","6","5","1",5.43788261220369
"1","1","6","1",4.91315247503592
"2","1","6","1",2.45012059519444
"3","1","6","1",9.20836640873658
"4","1","6","1",11.479839190694
"5","1","6","1",8.23106564999146
"6","1","6","1",5.75341838800106
"1","2","6","1",5.40243958463134
