"day","from","to","value"
"237","4","2",4.4025354
"238","4","2",4.51927
"239","4","2",4.496021
"240","4","2",4.434713
"241","4","2",4.6164713
"242","4","2",4.074922
"243","4","2",4.5980363
"244","4","2",4.456595
"245","4","2",4.3523583
"246","4","2",4.2647285
"247","4","2",4.0399866
"248","4","2",4.0730453
"249","4","2",3.8041391
"250","4","2",3.9106483
"251","4","2",3.9798887
"252","4","2",3.8549504
"232","5","2",1.9012176
"233","5","2",2.2135
"234","5","2",2.3499148
"235","5","2",2.2074282
"236","5","2",2.212752
"237","5","2",2.1267328
"238","5","2",2.2934752
"239","5","2",2.23256
"240","5","2",2.163499
"241","5","2",2.4305952
"242","5","2",1.9378273
"243","5","2",2.4065304
"244","5","2",2.1899319
"245","5","2",2.0746098
"246","5","2",2.0004072
"247","5","2",1.9160339
"248","5","2",1.9718232
"249","5","2",1.7968333
"250","5","2",1.7377841
"251","5","2",1.7769876
"252","5","2",1.6906437
"232","0","3",18.082413
"233","0","3",18.926662
"234","0","3",19.245016
"235","0","3",19.077906
"236","0","3",19.05287
"237","0","3",18.833158
"238","0","3",19.25264
"239","0","3",19.069359
"240","0","3",19.04149
"241","0","3",19.248478
"242","0","3",18.585653
"243","0","3",19.356121
"244","0","3",19.079687
"245","0","3",18.901627
"246","0","3",18.686575
"247","0","3",18.352612
"248","0","3",18.55696
"249","0","3",17.850311
"250","0","3",18.021105
"251","0","3",18.297874
"252","0","3",18.110239
"232","1","3",11.943951
"233","1","3",13.144837
"234","1","3",13.824773
"235","1","3",13.406145
"236","1","3",13.259045
"237","1","3",12.882379
"238","1","3",13.682415
"239","1","3",13.411194
"240","1","3",13.281953
"241","1","3",13.721501
"242","1","3",12.459071
"243","1","3",13.651812
"244","1","3",13.386696
"245","1","3",12.99908
"246","1","3",12.766331
"247","1","3",12.203068
"248","1","3",12.472452
"249","1","3",11.733662
"250","1","3",11.835905
"251","1","3",12.1709795
"252","1","3",11.892324
"232","2","3",3.7827482
"233","2","3",5.1520715
"234","2","3",5.838147
"235","2","3",5.2280817
"236","2","3",5.1824093
"237","2","3",4.821177
"238","2","3",5.65142
"239","2","3",5.4536834
"240","2","3",5.309871
"241","2","3",5.814194
"242","2","3",4.240301
"243","2","3",5.825866
"244","2","3",5.4826403
"245","2","3",4.868389
"246","2","3",4.5319076
"247","2","3",4.0029125
"248","2","3",4.3010035
"249","2","3",3.5114985
"250","2","3",3.8100932
"251","2","3",4.093714
"252","2","3",3.7944367
"232","3","3",7.347407
"233","3","3",8.654148
"234","3","3",9.298838
"235","3","3",8.713389
"236","3","3",8.553266
"237","3","3",8.204516
"238","3","3",9.08835
"239","3","3",8.886449
"240","3","3",8.70656
"241","3","3",9.222263
"242","3","3",7.592605
"243","3","3",9.139545
"244","3","3",8.989153
"245","3","3",8.32668
"246","3","3",8.044639
"247","3","3",7.522361
"248","3","3",7.7642226
"249","3","3",7.1618237
"250","3","3",7.415048
"251","3","3",7.598135
"252","3","3",7.3856726
"232","4","3",5.285786
"233","4","3",6.2401514
"234","4","3",6.727291
"235","4","3",6.3162613
"236","4","3",6.069475
"237","4","3",5.979533
"238","4","3",6.4782677
"239","4","3",6.367338
"240","4","3",6.12901
"241","4","3",6.5870266
"242","4","3",5.5381
"243","4","3",6.6488385
"244","4","3",6.270315
"245","4","3",5.846542
"246","4","3",5.692878
"247","4","3",5.458779
"248","4","3",5.5780168
"249","4","3",5.075292
"250","4","3",5.187119
"251","4","3",5.4563355
"252","4","3",5.2140937
"232","5","3",5.002486
"233","5","3",6.2094135
"234","5","3",6.831065
"235","5","3",6.4160123
"236","5","3",6.1586924
"237","5","3",5.8968205
"238","5","3",6.6674724
"239","5","3",6.494492
"240","5","3",6.265858
"241","5","3",6.7378793
"242","5","3",5.4651
"243","5","3",6.735824
"244","5","3",6.3628535
"245","5","3",6.0813794
"246","5","3",5.738672
"247","5","3",5.278926
"248","5","3",5.5129604
"249","5","3",4.8171716
"250","5","3",5.039009
"251","5","3",5.3618217
"252","5","3",5.0697255
"232","0","4",7.532383
"233","0","4",8.584285
"234","0","4",8.83392
"235","0","4",8.671113
"236","0","4",8.492683
"237","0","4",8.269274
"238","0","4",8.735456
"239","0","4",8.590483
"240","0","4",8.451573
"241","0","4",8.686722
"242","0","4",7.8197236
"243","0","4",8.903845
"244","0","4",8.477609
"245","0","4",8.250253
"246","0","4",8.157038
"247","0","4",7.80503
"248","0","4",7.9278326
"249","0","4",7.339488
"250","0","4",7.606126
"251","0","4",7.792454
"252","0","4",7.539021
"232","1","4",3.7715786
"233","1","4",4.063539
"234","1","4",4.219637
"235","1","4",4.0940394
"236","1","4",4.1541576
"237","1","4",4.029533
"238","1","4",4.235676
"239","1","4",4.0780888
"240","1","4",4.1561685
"241","1","4",4.2707295
"242","1","4",3.8083887
"243","1","4",4.255052
"244","1","4",4.0702195
"245","1","4",4.1067424
"246","1","4",3.9542143
"247","1","4",3.7879891
"248","1","4",3.927244
"249","1","4",3.762689
"250","1","4",3.7641249
"251","1","4",3.7727618
"252","1","4",3.7986124
"232","2","4",2.740736
"233","2","4",3.5402803
"234","2","4",3.9687881
"235","2","4",3.6811576
"236","2","4",3.456051
"237","2","4",3.2663484
"238","2","4",3.91625
"239","2","4",3.7673872
"240","2","4",3.5784945
"241","2","4",3.8956442
"242","2","4",3.026793
"243","2","4",3.9490054
