"day","from","to","value"
"247","2","2",7.3009577
"248","2","2",6.90994
"249","2","2",6.762076
"250","2","2",7.10591
"251","2","2",6.761489
"252","2","2",6.7792645
"232","3","2",10.375886
"233","3","2",10.237038
"234","3","2",10.325542
"235","3","2",9.739063
"236","3","2",10.25219
"237","3","2",10.114047
"238","3","2",10.283489
"239","3","2",9.944501
"240","3","2",10.175679
"241","3","2",9.658273
"242","3","2",9.986866
"243","3","2",10.239292
"244","3","2",9.980575
"245","3","2",9.8307
"246","3","2",10.167015
"247","3","2",10.131998
"248","3","2",9.5064745
"249","3","2",9.244323
"250","3","2",9.910881
"251","3","2",9.37466
"252","3","2",9.372414
"232","4","2",7.1803594
"233","4","2",7.1617203
"234","4","2",7.1553535
"235","4","2",6.838395
"236","4","2",7.0765452
"237","4","2",7.0458393
"238","4","2",7.188635
"239","4","2",6.9179482
"240","4","2",7.155042
"241","4","2",6.8586526
"242","4","2",7.040301
"243","4","2",7.0643606
"244","4","2",7.035896
"245","4","2",7.040221
"246","4","2",7.198179
"247","4","2",7.1227927
"248","4","2",6.802415
"249","4","2",6.722686
"250","4","2",6.8563304
"251","4","2",6.791545
"252","4","2",6.7471514
"232","5","2",6.909475
"233","5","2",6.8125534
"234","5","2",6.8476267
"235","5","2",6.4959197
"236","5","2",6.817854
"237","5","2",6.722602
"238","5","2",6.9089856
"239","5","2",6.5923343
"240","5","2",6.8294044
"241","5","2",6.475182
"242","5","2",6.6517386
"243","5","2",6.8111773
"244","5","2",6.7000523
"245","5","2",6.6156383
"246","5","2",6.8692417
"247","5","2",6.8349457
"248","5","2",6.3179636
"249","5","2",6.076616
"250","5","2",6.415119
"251","5","2",6.170587
"252","5","2",6.245747
"232","0","3",13.659519
"233","0","3",13.588027
"234","0","3",13.5834255
"235","0","3",13.1592865
"236","0","3",13.55343
"237","0","3",13.430201
"238","0","3",13.647784
"239","0","3",13.284241
"240","0","3",13.57826
"241","0","3",13.130696
"242","0","3",13.315285
"243","0","3",13.516219
"244","0","3",13.366065
"245","0","3",13.302391
"246","0","3",13.61697
"247","0","3",13.512958
"248","0","3",12.863721
"249","0","3",12.583203
"250","0","3",13.166656
"251","0","3",12.733471
"252","0","3",12.737228
"232","1","3",6.685588
"233","1","3",6.6699295
"234","1","3",6.7272215
"235","1","3",6.5195055
"236","1","3",6.701345
"237","1","3",6.710965
"238","1","3",6.7876325
"239","1","3",6.635497
"240","1","3",6.6481533
"241","1","3",6.494425
"242","1","3",6.6365294
"243","1","3",6.730185
"244","1","3",6.63051
"245","1","3",6.5745387
"246","1","3",6.696163
"247","1","3",6.727077
"248","1","3",6.4907317
"249","1","3",6.348583
"250","1","3",6.401503
